Sample Number,Variety,endo,Source notes,year,location,Extra Notes
14A0461,We08417a,se,(97813 x 97810)@@@ (Lanc.xCt1401),2014,New York,
14A0468,We09425,se,(GH2041 x Ambrosia)@,2014,New York,
14A0478,We09402,se,(Bojangles x Ambrosia)@,2014,New York,
14A0487,We01407,se,not found in compliation or diversity panel,2014,New York,
14A0497,We05408,se,not found in compliation or diversity panel,2014,New York,
14A0500,We08414a,se,(98080x 98081)@@ (Dent x Wh9261),2014,New York,
14A0501,We05411,se,not found in compliation or diversity panel,2014,New York,
14A0502,We05407,se,Trinity x 98401,2014,New York,
14A0504,We10401,se,(BS16 (S) C2 Syn 2 x Accord)@@,2014,New York,
14A0505,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0508,Check1,se,not found in compliation or diversity panel,2014,New York,
14A0512,We09413,se,(Bojangles x Brocade)@,2014,New York,
14A0517,We06410,se,not found in compliation or diversity panel,2014,New York,
14A0521,We08408,se,(97818 x 97803)@@@(Lanc.xCt1401)x(SSS Guelph),2014,New York,se/su
14A0526,We05410,se,98410b x Trinity,2014,New York,
14A0527,We05401,se,not found in compliation or diversity panel,2014,New York,
14A0578,IL44b,se,Country Gentleman,2014,New York,
14A0606,IL731a,se,Golden Sensation X IL677a (marked as su1 on diversity panel),2014,New York,
14A0636,Il677a,se,(Bolivia 1035 x IL44b) x IL442a,2014,New York,
14A0662,B5765,se,B5765 Se (maked as su1 in diversity panel),2014,New York,
14A0746,ILB5765,se,ILB5765 se (marked as su1 in diversity panel?),2014,New York,
14A0823,IL696a,se,American White Pearl x IL318a (marked as su1 on diversity panel),2014,New York,
14A0835,IL766a,se,(T35x IL677a)x IL677a (marked as su in diversity panel),2014,New York,
14A0023,R853,sh2,Ia453 sh2,2014,New York,
14A0027,R839,sh2,P39 sh2,2014,New York,
14A0077,R825,sh2,"Ia5125 sh2. Looked at seed, confirmed",2014,New York,
14A0081,R851,sh2,P51 sh2,2014,New York,
14A0089,Wh96015,sh2,not found in compliation or diversity panel,2014,New York,
14A0096,Wh09033,sh2,(Marvel x Ambrosia)@,2014,New York,
14A0117,Wh04020a,sh2,Marvel x Contender,2014,New York,
14A0118,Wh10173V,sh2,"(04032,3V x Ct1013)@@@@@@",2014,New York,
14A0122,Wh98063,sh2,not found in compliation or diversity panel,2014,New York,
14A0142,Wh93017,sh2,not found in compliation or diversity panel,2014,New York,
14A0143,If853,su1,Found in Diversity Panel. No notes,2014,New York,
14A0156,Wh10802R,sh2,Rp1GFJ  {@7},2014,New York,
14A0157,Wh05051,sh2,Ct1401 x HSII,2014,New York,
14A0162,Wh09075,sh2,SS Jubilee Plus x Ambrosia (sh2xse)@,2014,New York,
14A0166,Wh07020a,sh2,(HSII X Sugar Buns)@@,2014,New York,
14A0169,Wh1095407-2,sh2,PopBRpG+Rp1-J+Rp1Fx95407) {@8},2014,New York,
14A0175,Wh09126R,sh2,Pop D  Rp1-F + Rp1-J + Rp1C x SSJ) {@8},2014,New York,
14A0184,Wh07166R,sh2,PopBRpG+Rp1-J+Rp1Fx92054)@7 (Rust),2014,New York,
14A0198,Wh10035R,sh2,Wh9261 x Rp1I {2},2014,New York,
14A0200,Wh09137R,sh2,Pop D  Rp1-F + Rp1-J + Rp1C x Wh9261) {@8},2014,New York,
14A0206,Wh00065,sh2,not found in compliation or diversity panel,2014,New York,
14A0210,Wh10804R,sh2,Red @6,2014,New York,
14A0213,Wh92054,sh2,not found in compliation or diversity panel,2014,New York,
14A0221,Wh00051,sh2,not found in compliation or diversity panel,2014,New York,
14A0226,Wh07165R,sh2,Mexican Dent sh2 ####@8 (NCLB),2014,New York,
14A0235,Wh09009,sh2,GSS 9299 x Ambrosia)@,2014,New York,
14A0239,Wh00033,sh2,not found in compliation or diversity panel,2014,New York,
14A0245,If825,sh2,looked at seed. Definitely sh2,2014,New York,
14A0250,Wh03031,sh2,BSS1609 x GH1887,2014,New York,
14A0255,Wh10216V,sh2,"(04036,7V x Ct1001)@@@@@@",2014,New York,
14A0269,Wh10049R,sh2,98003 x Rp1GDJ {2},2014,New York,
14A0271,Wh08022,sh2,(Sugar Buns x SSJ)@,2014,New York,
14A0277,Wh10140R,sh2,(Wh93017xPopARp1-J+Rp1@@) {6},2014,New York,
14A0284,Wh09068,sh2,(WSS 3681(CML**27 x WSS3681)@,2014,New York,
14A0292,Wh05066a,sh2,HSII x SS Jubilee,2014,New York,
14A0294,Wh07013,sh2,(96034x035x037x040)@,2014,New York,
14A0295,Wh10110R,sh2,"((Rp1e x HSII)SSJ#)(SSJ,Zen,HSII,GSS3710,CHAL)) {@12}",2014,New York,
14A0300,Wh96011,sh2,not found in compliation or diversity panel,2014,New York,
14A0301,Wh95016a,sh2,not found in compliation or diversity panel,2014,New York,
14A0308,Wh10113R,sh2,Pop D  Rp1-F + Rp1-J + Rp1C x Shaker) {@9},2014,New York,
14A0313,Wh08092,sh2,(Ambrosia(CML-356 x WSS3681)@,2014,New York,
14A0321,Wh09061,sh2,(SS Jubilee x Ambrosia)@,2014,New York,
14A0323,Wh98044,sh2,not found in compliation or diversity panel,2014,New York,
14A0325,Wh10080,sh2,(BS27 x K2-501)@@,2014,New York,
14A0329,Wh9261,sh2,not found in compliation or diversity panel,2014,New York,
14A0330,Wh08042,sh2,(SS Jubilee(CML-246 x BSS5362)@,2014,New York,
14A0338,Wh05081a,sh2,not found in compliation or diversity panel,2014,New York,
14A0344,Wuh98032,sh2,HSII x Sugar Buns,2014,New York,
14A0345,Wh94053,sh2,not found in compliation or diversity panel,2014,New York,
14A0346,Wh08091,sh2,(GSS 9299(CML**64 x Shogun)@,2014,New York,
14A0473,R839,sh2,P39 sh2,2014,New York,
14A0483,R825,sh2,"Ia5125 sh2. Looked at seed, confirmed",2014,New York,
14A0486,R851,sh2,P51 sh2,2014,New York,
14A0510,R853,sh2,Ia453 sh2,2014,New York,
14A0534,Wh93016,sh2,not found in compliation or diversity panel,2014,New York,
14A0537,Wh05051,sh2,Ct1401 x HSII,2014,New York,
14A0540,Wh10163,sh2,Caribbean sh2 @# {@6},2014,New York,
14A0552,Wh07013,sh2,(96034x035x037x040)@,2014,New York,
14A0558,Wh92054,sh2,not found in compliation or diversity panel,2014,New York,
14A0565,Wh10802R,sh2,Rp1GFJ  {@7},2014,New York,
14A0566,Wh98044,sh2,not found in compliation or diversity panel,2014,New York,
14A0568,Wh10231V,sh2,((ExcellencyxHaw. SS)[S4]xCt1001)@@@@@@,2014,New York,
14A0574,Wh10216V,sh2,"(04036,7V x Ct1001)@@@@@@",2014,New York,
14A0575,Wh98063,sh2,not found in compliation or diversity panel,2014,New York,
14A0576,Wh08042,sh2,(SS Jubilee(CML-246 x BSS5362)@,2014,New York,
14A0583,Wh08091,sh2,(GSS 9299(CML**64 x Shogun)@,2014,New York,
14A0584,Wh08092,sh2,(Ambrosia(CML-356 x WSS3681)@,2014,New York,
14A0600,Wh07020a,sh2,(HSII X Sugar Buns)@@,2014,New York,
14A0608,Wh94053,sh2,not found in compliation or diversity panel,2014,New York,
14A0611,Wh09061,sh2,(SS Jubilee x Ambrosia)@,2014,New York,
14A0614,Wh09009,sh2,GSS 9299 x Ambrosia)@,2014,New York,
14A0620,Wh10140R,sh2,(Wh93017xPopARp1-J+Rp1@@) {6},2014,New York,
14A0621,Wh10080,sh2,(BS27 x K2-501)@@,2014,New York,
14A0625,Wh03031,sh2,BSS1609 x GH1887,2014,New York,
14A0627,Wh00065,sh2,not found in compliation or diversity panel,2014,New York,
14A0630,If853,su1,Found in Diversity Panel. No notes,2014,New York,
14A0632,Wh10173V,sh2,"(04032,3V x Ct1013)@@@@@@",2014,New York,
14A0633,Wh10049R,sh2,98003 x Rp1GDJ {2},2014,New York,
14A0634,Wh05066a,sh2,HSII x SS Jubilee,2014,New York,
14A0639,Wh05081a,sh2,not found in compliation or diversity panel,2014,New York,
14A0643,Wh07061a,sh2,(Ct1001 x A641)@@@ {2},2014,New York,
14A0649,Wh00051,sh2,not found in compliation or diversity panel,2014,New York,
14A0666,Wh01001,sh2,not found in compliation or diversity panel,2014,New York,
14A0668,Wh04036V,sh2,Mexican Dent sh2  (MDMV),2014,New York,
14A0671,Wh93017,sh2,not found in compliation or diversity panel,2014,New York,
14A0678,Wh04020a,sh2,Marvel x Contender,2014,New York,
14A0680,Wh09137R,sh2,Pop D  Rp1-F + Rp1-J + Rp1C x Wh9261) {@8},2014,New York,
14A0689,Wh09075,sh2,SS Jubilee Plus x Ambrosia (sh2xse)@,2014,New York,
14A0691,Wh96011,sh2,not found in compliation or diversity panel,2014,New York,
14A0693,Wuh98032,sh2,HSII x Sugar Buns,2014,New York,
14A0703,Wh08022,sh2,(Sugar Buns x SSJ)@,2014,New York,
14A0715,Wh09068,sh2,(WSS 3681(CML**27 x WSS3681)@,2014,New York,
14A0722,Wh1095407-2,sh2,PopBRpG+Rp1-J+Rp1Fx95407) {@8},2014,New York,
14A0729,Wh10113R,sh2,Pop D  Rp1-F + Rp1-J + Rp1C x Shaker) {@9},2014,New York,
14A0737,Wh93006,sh2,not found in compliation or diversity panel,2014,New York,
14A0740,Wh10035R,sh2,Wh9261 x Rp1I {2},2014,New York,
14A0745,Wh96034,sh2,not found in compliation or diversity panel,2014,New York,
14A0747,Wh10110R,sh2,"((Rp1e x HSII)SSJ#)(SSJ,Zen,HSII,GSS3710,CHAL)) {@12}",2014,New York,
14A0748,Wh07165R,sh2,Mexican Dent sh2 ####@8 (NCLB),2014,New York,
14A0753,Wh9261,sh2,not found in compliation or diversity panel,2014,New York,
14A0754,Wh07166R,sh2,PopBRpG+Rp1-J+Rp1Fx92054)@7 (Rust),2014,New York,
14A0757,Wh09126R,sh2,Pop D  Rp1-F + Rp1-J + Rp1C x SSJ) {@8},2014,New York,
14A0758,Wh07051,sh2,(Ct1001 x A632)@@@ {2},2014,New York,
14A0760,Wh10006R,sh2,Mexican Dent sh2 ####@5 rc @4 (Rust),2014,New York,
14A0767,Wh96015,sh2,not found in compliation or diversity panel,2014,New York,
14A0768,Wh09033,sh2,(Marvel x Ambrosia)@,2014,New York,
