"GenoName","Sucrose"
"IL557a",4.1592979
"IL557a",11.2129898
"IL557a",11.0455093
"IL557a",7.5792503
"IL607a",15.4854164
"IL607a",14.3700409
"IL607a",15.1119576
"IL607a",13.4851837
"IL607a",11.5043411
"IL607a",12.5888901
"IL607a",12.9215965
"IL611a",12.0895767
"IL611a",10.5788574
"IL611a",4.5935478
"IL611a",11.4147415
"IL611a",11.0133209
"IL611a",13.4058723
"IL611a",6.6447754
"IL611a",10.7897072
"IL611a",8.1652603
"IL611a",8.357872
"IL611a",10.4996605
"IL611a",4.1899643
"IL615a",7.2399902
"IL615a",8.3071098
"IL615a",10.1149445
"IL615a",14.2482033
"IL615a",8.5152359
"IL615a",10.2659683
"IL618b",12.1166267
"IL618b",13.4391747
"IL618b",12.9448433
"IL648",10.1101646
"IL648",15.5001488
"IL648",8.2635269
"IL648",12.8365021
"IL661a",6.0317764
"IL661a",10.8892822
"IL661a",10.4308052
"IL661a",10.3925323
"IL661a",11.9297981
"IL661a",14.0037994
"IL661a",11.3328934
"IL671a",5.8960876
"IL671a",6.3501625
"IL671a",3.6654167
"IL671a",5.0857773
"IL671a",7.3349113
"IL671a",6.540535
"IL673a",8.6474915
"IL673a",5.7858276
"IL673a",9.5059395
"IL673a",10.5649605
"IL673a",9.4885597
"IL673a",5.924324
"IL676a",9.1895866
"IL676a",9.6311188
"IL676a",3.85326
"IL676a",7.3951111
"IL676a",4.5646858
"IL676a",8.2566566
"IL676a",8.6019058
"IL676a",8.4251137
"IL678a",5.72229
"IL678a",3.3983116
"IL678a",7.3181076
"IL678a",6.7575226
"IL678a",8.3142624
"IL678a",8.0502663
"IL678a",9.2726097
"IL678a",11.5972939
"IL689a",5.6566887
"IL689a",8.297924
"IL689a",3.7471848
"IL689a",3.6636429
"IL689a",3.3348923
"IL689a",6.6613579
"IL689a",5.2958488
"IL689a",8.1505432
"IL689a",4.6522141
"IL692c",9.4980583
"IL692c",6.2964096
"IL692c",9.2700806
"IL692c",9.9170532
"IL692c",5.457428
"IL692c",3.4371681
"IL692c",11.7510414
"IL692c",8.2282982
"IL696a",9.0700035
"IL696a",17.4174423
"IL696a",14.8841858
"IL696a",14.213295
"IL696a",11.2790756
"IL696a",9.4269257
"IL696a",11.9489899
"IL696a",16.5694885
"IL696a",5.2642212
"IL696a",14.5989571
"IL699e",10.0659599
"IL699e",5.3133011
"IL699e",8.0359497
"IL699e",11.0628891
"IL7",7.9734001
"IL7",14.2663765
"IL7",14.9857025
"IL7",12.6227608
"IL7",10.5920677
"IL701e",12.4217339
"IL701e",13.3886909
"IL701e",1.4531555
"IL701e",6.2506142
"IL707a",9.7888794
"IL707a",10.6680832
"IL707a",7.461338
"IL707a",9.7560921
"IL707a",3.7896996
"IL707a",9.8098831
"IL713a",4.554615
"IL713a",8.1669884
"IL713a",4.0379868
"IL713a",6.5377502
"IL713a",6.3337021
"IL713a",9.8541679
"IL713a",5.8753967
"IL729a",6.7989731
"IL729a",12.7662201
"IL729a",12.964016
"IL729a",10.2108574
"IL729a",9.1869125
"IL729a",10.2555542
"IL729a",6.5006332
"IL729a",11.0045776
"Ames27444",11.8383102
