SampleLabel,Inbred,superblock,block,rep,Row,Col,Check,IsFill,IsExperimental,Year,Location,NIRBase,FileSource,,,,,,
660,IL615a,2,30,2,66,1,99,1,1,2015,Wisconsin,15W660,Wi_plot_line_2015_rep2,,,,,,
661,IL751a,2,31,2,66,2,99,1,1,2015,Wisconsin,15W661,Wi_plot_line_2015_rep2,,,,,,
662,83612b,2,31,2,66,3,99,1,1,2015,Wisconsin,15W662,Wi_plot_line_2015_rep2,,,,,,
663,A684,2,31,2,66,4,99,1,1,2015,Wisconsin,15W663,Wi_plot_line_2015_rep2,,,,,,
664,IL91j,2,31,2,66,5,99,1,1,2015,Wisconsin,15W664,Wi_plot_line_2015_rep2,,,,,,
665,P39b,2,31,2,66,6,99,1,1,2015,Wisconsin,15W665,Wi_plot_line_2015_rep2,,,,,,
666,Wh10049R,2,31,2,66,7,99,1,1,2015,Wisconsin,15W666,Wi_plot_line_2015_rep2,,,,,,
667,Wh09033,2,31,2,66,8,99,1,1,2015,Wisconsin,15W667,Wi_plot_line_2015_rep2,,,,,,
668,IL13B,2,31,2,66,9,99,1,1,2015,Wisconsin,15W668,Wi_plot_line_2015_rep2,,,,,,
669,IL744a,2,31,2,66,10,99,1,1,2015,Wisconsin,15W669,Wi_plot_line_2015_rep2,,,,,,
670,IL799b,2,31,2,67,10,99,1,1,2015,Wisconsin,15W670,Wi_plot_line_2015_rep2,,,,,,
671,We01407,2,31,2,67,9,99,1,1,2015,Wisconsin,15W671,Wi_plot_line_2015_rep2,,,,,,
672,AS11,2,31,2,67,8,99,1,1,2015,Wisconsin,15W672,Wi_plot_line_2015_rep2,,,,,,
673,Check3,2,31,2,67,7,3,1,0,2015,Wisconsin,15W673,Wi_plot_line_2015_rep2,,,,,,
674,FILL,2,31,2,67,6,99,1,1,2015,Wisconsin,15W674,Wi_plot_line_2015_rep2,,,,,,
675,SD908,2,31,2,67,5,99,1,1,2015,Wisconsin,15W675,Wi_plot_line_2015_rep2,,,,,,
676,ILB5765,2,31,2,67,4,99,1,1,2015,Wisconsin,15W676,Wi_plot_line_2015_rep2,,,,,,
677,P39M96,2,31,2,67,3,99,1,1,2015,Wisconsin,15W677,Wi_plot_line_2015_rep2,,,,,,
678,Check2,2,31,2,67,2,2,1,0,2015,Wisconsin,15W678,Wi_plot_line_2015_rep2,,,,,,
679,A685,2,31,2,67,1,99,1,1,2015,Wisconsin,15W679,Wi_plot_line_2015_rep2,,,,,,
680,FILL,2,31,2,68,1,99,1,1,2015,Wisconsin,15W680,Wi_plot_line_2015_rep2,,,,,,
681,IL797a,2,31,2,68,2,99,1,1,2015,Wisconsin,15W681,Wi_plot_line_2015_rep2,,,,,,
682,Wh10110R,2,31,2,68,3,99,1,1,2015,Wisconsin,15W682,Wi_plot_line_2015_rep2,,,,,,
683,SD592,2,32,2,68,4,99,1,1,2015,Wisconsin,15W683,Wi_plot_line_2015_rep2,,,,,,
684,IL673a,2,32,2,68,5,99,1,1,2015,Wisconsin,15W684,Wi_plot_line_2015_rep2,,,,,,
685,EP62,2,32,2,68,6,99,1,1,2015,Wisconsin,15W685,Wi_plot_line_2015_rep2,,,,,,
686,Ia5125,2,32,2,68,7,99,1,1,2015,Wisconsin,15W686,Wi_plot_line_2015_rep2,,,,,,
687,IL707a,2,32,2,68,8,99,1,1,2015,Wisconsin,15W687,Wi_plot_line_2015_rep2,,,,,,
688,IL731a,2,32,2,68,9,99,1,1,2015,Wisconsin,15W688,Wi_plot_line_2015_rep2,,,,,,
689,C23,2,32,2,68,10,99,1,1,2015,Wisconsin,15W689,Wi_plot_line_2015_rep2,,,,,,
690,Ia5220,2,32,2,69,10,99,1,1,2015,Wisconsin,15W690,Wi_plot_line_2015_rep2,,,,,,
691,We08414a,2,32,2,69,9,99,1,1,2015,Wisconsin,15W691,Wi_plot_line_2015_rep2,,,,,,
692,P39xRp1d,2,32,2,69,8,99,1,1,2015,Wisconsin,15W692,Wi_plot_line_2015_rep2,,,,,,
693,EP84,2,32,2,69,7,99,1,1,2015,Wisconsin,15W693,Wi_plot_line_2015_rep2,,,,,,
694,IL515a,2,32,2,69,6,99,1,1,2015,Wisconsin,15W694,Wi_plot_line_2015_rep2,,,,,,
695,P39,2,32,2,69,5,99,1,1,2015,Wisconsin,15W695,Wi_plot_line_2015_rep2,,,,,,
696,Wuh07429i,2,32,2,69,4,99,1,1,2015,Wisconsin,15W696,Wi_plot_line_2015_rep2,,,,,,
697,Wu00802,2,32,2,69,3,99,1,1,2015,Wisconsin,15W697,Wi_plot_line_2015_rep2,,,,,,
698,Check3,2,32,2,69,2,3,1,0,2015,Wisconsin,15W698,Wi_plot_line_2015_rep2,,,,,,
