"Inbred","Starch.BLUP","Total.Polysaccharides.BLUP","WSP.BLUP","Glucose.BLUP","Fructose.BLUP","Sucrose.BLUP","Total.Sugar.BLUP"
"IaEV3002",-3.2111741799421,-3.39132361585683,0.427225795037104,0.892225306117902,0.438803811674767,3.12912732792253,4.89927348986181
"IaEV3004",-2.34985478293518,0.586266753726368,3.06044555276171,0.573616577369921,-0.0100377255909116,1.28703037373151,1.96672312594092
"IaEV3015",-2.81773389959531,-1.14736303148133,1.58276586217865,1.21635841139169,0.638373497907731,2.15665054353951,4.59883102354388
"Il101t",3.62754717336369,1.9971356302754,-1.71646611427682,-0.457026214484957,-0.267458198894196,-1.32921555511531,-1.69520494253621
"IL103a",-1.68048257976351,-1.08136934006398,0.110053462098417,-0.0958261194688662,-0.0991770064068278,0.772037494429518,0.798925045400703
"IL104g",0.0637773485857383,2.02617684140421,1.36412917133877,-0.439087118176581,-0.533749399722773,0.48279292700621,-0.783475642847475
"IL107a",-2.8291854483731,2.27763411470941,3.74717971848346,-1.39724252471628,-0.954857059771947,-0.332013570434416,-2.86995664600064
"IL110K",12.4154917618902,5.57951825951767,-5.68799058255574,-0.875673761264381,-0.539373573791616,-3.9235836403004,-5.35697559874597
"IL112t",0.630992583469294,1.84722415673267,1.09792019637757,-0.961337617786432,-1.30984661104924,-1.94438026108654,-3.90463417957108
"IL1171",-0.293474760110104,3.69498638968775,3.79004734355175,-0.686427354447215,-0.827274070498649,-1.20377386280843,-2.8484887431067
"IL11D",-0.637874157913384,-2.0294984514909,-0.565332328141344,0.836606751887462,-0.0186942667416376,-2.28184946360144,-1.55349570521842
"IL124a",-1.74904747637372,1.44405938378704,2.04938087615306,0.131787483839497,-0.121635545847828,0.301706971823847,0.0102608419447154
"IL125b",-2.73785499106853,-1.04024570749149,1.32378095382597,-0.234854441393104,0.186258031793431,-0.277357305910047,-0.900772385574829
"IL13B",-0.94431089247081,3.02482952102909,2.90007946857489,-0.601989567876203,-0.503300304003395,0.122636385661842,-1.39617054515726
"IL14b",-1.29781639459097,-3.32728896588663,-1.93602217785851,0.39284866510098,0.882350431016889,2.07975713815661,1.84084194829979
"IL14C",-2.89197283571681,-3.13372515981609,0.0167910241063416,1.67068813878646,1.30208401640128,3.17193205264673,6.55008301515098
"IL14H",-0.635803447831138,-2.3226854014245,-1.23354985968477,0.968704303255129,0.763004587042683,1.90804438390245,3.49552382349951
"IL18b",-4.37005784313796,-0.952704405494616,3.64981887185011,0.352732807406771,-0.0109120055782234,1.88477927920073,2.34657121338306
"IL200e",2.86884467005327,6.98939440327108,4.58259566459435,-1.02241675504741,-0.782691875920568,0.189352193454009,-2.74971646484241
"IL21f",0.353363882500367,2.21144016907994,2.10895457695507,-0.346452262021478,-0.156239089699031,2.42355443505306,0.696920008123634
"IL279AxRp1d",3.35701164374524,-2.32751892673617,-4.22801034276554,1.00604011123138,1.11501600823162,1.29407194840538,3.36471114710767
"IL27a",5.81361546399338,-1.83569467605607,-6.2831182577354,0.92789148252156,0.693107079647945,-0.466010121332315,2.54980641211389
"IL303b",7.41734684649681,6.53340597560016,-1.00986871082364,-0.910065895972779,-0.841531979689901,-3.39748057336024,-5.02231948078404
"IL318a",-2.17031896012542,1.18599444339345,3.24386878432148,-1.19911794825481,-1.45882156937554,-0.158901063698093,-3.58215655334669
"IL31a",0.927686749638961,1.29662984797559,0.700469444619653,-0.160133584550565,-0.453819438098122,-1.86048190011445,-2.26192309413162
