"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Variety","Edit"
"338","68","14NY0250-2",11.85309265,10.0194526,-0.74202705,6.3501556,6.76336025,23.3539066,36.7803764,"Wh03031","WSP Zeroed"
"339","168","14NY0614-2",12.1779127,13.5184088,-0.7363605,6.5205102,6.9723983,23.0534897,36.7521057,"Wh09009","WSP Nulled"
"340","146","14NY0566-1",16.9551697,22.3396358,-0.7128819,6.0767956,6.253768,18.9942665,31.2027264,"Wh98044","WSP Zeroed"
"341","510","15NY0316",22.9318066,19.64149285,-0.70614145,5.10971685,5.6753392,18.53632925,29.45100785,"Wh09033","WSP Zeroed"
"342","469","15NY0115",26.3743248,27.8083134,-0.6602454,4.6338377,5.1709299,15.2825098,24.8993912,"Wuh07177i","WSP Zeroed"
"343","33","14NY0156-2",19.5596352,23.807497,-0.6579797,5.6585665,5.9314775,17.6314163,29.0839043,"Wh10802R","WSP Zeroed"
"344","371","14W32029",26.6079826,26.6085072,-0.6393598,3.8842435,4.1726809,13.0348539,20.8769264,"Wuh09150i","WSP Nulled"
"345","579","15NY0730",29.7191658,22.4968796,-0.6186349,3.8831501,4.8725257,16.4180679,25.3276768,"Fa56A","WSP Zeroed"
"346","569","15NY0682",27.3605118,19.9500351,-0.6142442,4.3185964,5.1346102,17.5992241,27.2687283,"Wuh09183i","WSP Zeroed"
"347","661","15W2835-2",14.8039198,20.8742752,-0.5970294,6.1821723,6.3631124,19.2906494,31.8086319,"Wh09141R","WSP Zeroed"
"348","609","15NY0913",29.7659798,25.2463608,-0.5713172,3.9839211,4.6670837,14.2632513,22.9931431,"Wh92047","WSP Zeroed"
"349","574","15NY0694",21.2502823,11.0810642,-0.5554628,5.2310524,5.9304132,21.5410805,33.2181168,"Wuh07429i","WSP Zeroed"
"350","51","14NY0210-1",20.8687477,25.3897228,-0.5438666,5.61059,5.8307028,16.8429832,28.1250648,"Wh10804R","WSP Zeroed"
"351","189","14NY0656-1",27.18369485,28.4800062,-0.52540955,4.59140945,5.18965125,14.8742194,24.4958029,"DF14","WSP Nulled"
"352","650","15W2768-2",16.2764168,22.2777042,-0.5241207,5.9656663,6.1123095,18.3850231,30.3972988,"Wh92054","WSP Nulled"
"353","481","15NY0188",27.6707916,20.2198353,-0.5239463,4.2092795,5.0979261,17.4117699,26.9548531,"Wuh09183i","WSP Zeroed"
"354","295","14W31244",27.0746498,28.3127384,-0.5208055,4.037827,4.1403456,12.2662926,20.1445236,"Wuh07466i","WSP Nulled"
"355","652","15W2804-2",15.8561621,20.9673843,-0.4922844,6.1006765,6.4239645,19.6852322,32.213932,"Wh00065","WSP Zeroed"
"356","169","14NY0620-2",12.3478632,19.2478333,-0.4877743,6.6576619,6.7166567,20.188303,33.5400162,"Wh10140R","WSP Nulled"
"357","215","14NY0725-1",23.4976425,28.3183479,-0.4816612,5.1747999,5.3558536,14.7047644,24.9900532,"A632","WSP Zeroed"
