"","Position","Samples","Starch","Total.Polysaccharides","WSP","Glucose","Fructose","Sucrose","Total.Sugar","Inbred","Edit"
"16","3184","14W32077-1",-1.9651561,7.7145343,2.6346941,8.9438553,8.1047602,22.9241066,40.8140221,"Wuh07183i","Starch Zeroed"
"17","654","14NY0606",-1.804657,25.0265999,27.3358307,5.3811131,5.8110089,22.9210434,33.5462112,"IL731a","Starch Zeroed"
"18","3140","14W31866-1",-1.7881713,8.1609325,2.2706351,8.8418999,7.990067,22.7485981,40.3216629,"If853","Starch Zeroed"
"19","3092","14W31513-1",-1.7678204,5.7250443,2.9447179,8.8329811,8.2315941,23.1902447,41.3365402,"Wh09117R","Starch Zeroed"
"20","1248","14W31128-1",-1.6189194,13.9617805,12.1435013,9.6374617,9.3552322,16.1633911,35.7288666,"Check1","Starch Nulled"
"21","3188","14W32109-1",-1.5503063,8.2406693,2.5536222,8.8682117,8.0160999,22.5873013,40.2964134,"Wuh09150i","Starch Zeroed"
"22","1020","14W30528-1",-1.5312119,24.2004356,25.1714401,5.0387163,6.1230502,17.0429077,28.5503159,"IL778c","Starch Zeroed"
"23","3103","14W31546-2",-1.5015149,5.6533465,2.8639326,8.6417589,8.0832634,23.0030727,40.8253098,"Wuh09170i","Starch Zeroed"
"24","3085","14W31467-1",-1.3114796,12.8828831,0.734256,8.7941236,7.8362789,22.7162189,39.5523529,"Wh07013","Starch Zeroed"
"25","1246","14W31126-1",-1.2011261,16.3827019,15.9999161,7.9295521,8.2085047,18.3210144,35.5143929,"We05408","Starch Zeroed"
"26","1092","14W30836-1",-0.9344597,12.5565491,11.0314255,9.7055206,9.3117638,16.2731667,37.0745468,"Check1","Starch Nulled"
"27","1794","14W32476",-0.8887939,32.1598663,33.8788834,3.7389987,3.4219706,5.8003235,10.4601879,"IL772a","Starch Zeroed"
"28","3130","14W31726-2",-0.817297,5.7712069,3.3969536,8.7980671,8.1712246,22.9679394,41.0703964,"M6415","Starch Zeroed"
"29","3152","14W31920-1",-0.5595937,7.475441,2.7148399,8.6298256,7.9694819,22.3354206,39.9098015,"Wh03031","Starch Zeroed"
"30","3054","14W31277-1",-0.5151057,4.2066145,3.5088305,8.5165024,7.9333797,22.6602192,40.3195877,"34f","Starch Nulled"
"31","2462","15W2407-1",-0.5091324,20.4875374,20.581665,7.2880912,7.4916654,18.7857018,34.552021,"We05401","Starch Zeroed"
"32","3059","14W31313-1",-0.3248696,12.9306345,1.2219563,8.677269,7.6066108,21.5487175,38.1089325,"Wh09083","Starch Zeroed"
"33","1543","14W31845-1",-0.2543945,1.5835838,-1.2536163,10.3123455,9.1532326,15.299408,37.6907539,"Ma609","Starch Zeroed"
"34","1055","14W30715-1",-0.1906662,12.1298676,9.4855499,8.9148893,9.5486898,25.2594376,42.3977051,"Jubileeex9017","Starch Zeroed"
"35","958","14W30301-1",-0.1824875,15.6413155,14.3584824,6.8057122,7.459949,8.1597443,25.125206,"IL747b","Starch Zeroed"
"36","1746","14W32341",-0.1477852,24.9099846,26.5711899,5.7542319,3.8084197,-2.4399567,1.3515921,"EP58","Starch Zeroed"
"37","1706","14W32264-1",-0.1099968,22.3481598,21.9632111,4.4770322,5.6019607,12.246582,23.3180656,"IL731a","Starch Nulled"
"38","3052","14W31264-1",-0.0842018,6.9904041,3.0633712,8.5480404,7.7776222,22.0388508,39.3408966,"Wuh09149i","Starch Zeroed"
"39","3115","14W31659-1",-0.0831137,7.9548464,3.0668316,8.6409054,7.8222575,21.7630234,39.2023773,"Wh07020a","Starch Zeroed"
"40","370","14NY0353-1",-0.0040321,21.6043015,23.1972656,5.7096567,6.2628036,24.4551048,36.9181137,"IL766a","Starch Zeroed"
"41","2832","14NY0344-1",3.2842245,-4.6411934,-5.098444,7.4276948,8.7175455,36.7051735,52.8431778,"Wuh98032","Total.Polysaccharides Zeroed"
"42","2819","14NY0322-2",4.4202423,-3.641716,-4.227766,7.2706604,8.4219131,34.6679268,50.5108719,"Wuh09164i","Total.Polysaccharides Zeroed"
"43","2897","14NY0627-1",3.7432165,-3.160974,-4.9963579,7.3507967,8.685317,36.1193008,52.1150436,"Wh00065","Total.Polysaccharides Zeroed"
"44","2919","14NY0666-2",2.7438574,-3.0583668,-4.1874485,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","Total.Polysaccharides Nulled"
"45","2753","14NY0157-1",3.650898,-2.9020104,-4.0080113,7.3371968,8.4928226,34.5764389,50.5476074,"Wh05051","Total.Polysaccharides Zeroed"
"46","2790","14NY0269-2",3.0927916,-2.6985154,-3.3427477,7.507308,8.4773083,33.6076355,49.8410645,"Wh10049R","Total.Polysaccharides Nulled"
"47","2818","14NY0322",9.4208517,-1.5693431,-4.7536964,6.466732,7.9400568,33.8754845,48.3424034,"Wuh09164i","Total.Polysaccharides Zeroed"
"48","2801","14NY0294-2",3.5693779,-1.3927941,-4.6534472,7.413444,8.4690952,34.4743271,50.2772064,"Wh07013","Total.Polysaccharides Zeroed"
"49","2775","14NY0226-1",2.8290081,-1.1222105,-4.5052643,7.3801594,8.5593367,34.4977646,50.4153252,"Wh07165R","Total.Polysaccharides Zeroed"
"50","2754","14NY0157-2",4.7725201,-1.0084286,-3.4441233,7.1283898,8.1844254,32.7070541,48.2033081,"Wh05051","Total.Polysaccharides Zeroed"
"51","2958","14NY0748-2",3.1155844,-0.6743412,-4.4535985,7.4206905,8.518899,34.2011108,50.0962753,"Wh07165R","Total.Polysaccharides Zeroed"
"52","2799","14NY0292-2",6.5346718,-0.6042533,-4.9015779,6.8773584,8.2440882,34.234623,49.298912,"Wh05066a","Total.Polysaccharides Zeroed"
"53","2932","14NY0693-1",8.8352356,-0.4687672,-4.9140072,6.7036667,8.0212059,33.9593658,48.6185532,"Wuh98032","Total.Polysaccharides Zeroed"
"54","2858","14NY0537-2",4.6290016,-0.4361405,-4.0575724,7.0637531,8.3726254,33.6799011,49.2078362,"Wh05051","Total.Polysaccharides Zeroed"
"55","2947","14NY0729-2",5.5669174,-0.4173121,-4.5636988,7.1546516,8.3589611,34.1200676,49.5783615,"Wh10113R","Total.Polysaccharides Zeroed"
"56","2882","14NY0600-1",4.9443407,-0.4136028,-3.5357265,7.3915482,8.2857552,32.8125496,48.5961571,"Wh07020a","Total.Polysaccharides Zeroed"
"57","2811","14NY0308-2",5.725913,-0.2809501,-4.5320225,7.1214247,8.3410587,34.0511322,49.4669762,"Wh10113R","Total.Polysaccharides Zeroed"
"58","541","14NY0508",23.32827,1.4946327,-22.6514587,11.0399799,7.3504086,-11.1202412,15.27458,"Check1","WSP Nulled"
"59","946","14NY0873",45.7703171,35.7124557,-14.251976,6.2315307,8.0018387,-2.9234924,11.0519543,"A7","WSP Zeroed"
"60","947","14NY0873-1",46.0988579,36.0317612,-14.2286835,6.2647729,7.947413,-3.0304413,10.8873043,"A7","WSP Zeroed"
"61","948","14NY0873-2",43.6019287,34.8346405,-12.5129089,5.6689725,7.1670918,-1.4410934,12.10952,"A7","WSP Zeroed"
"62","901","14NY0846-1",49.9397545,38.5896912,-11.6578979,0.3508595,5.3388939,18.6074371,14.4388046,"IL14b","WSP Nulled"
"63","192","14NY0163-2",18.4159241,10.2226944,-10.5550308,8.6736488,6.7864461,-5.211607,14.4651642,"S4","WSP Nulled"
"64","429","14NY0420-1",56.9475784,50.8366165,-8.9338379,1.0378677,5.0530405,3.7852287,6.0060959,"A7","WSP Nulled"
"65","1096","14W30840-2",43.270546,36.5774689,-7.6333847,3.1619601,3.5940158,3.9708519,11.5637341,"ND1","WSP Zeroed"
"66","2231","15NY0695",47.3461533,40.4933701,-7.3645859,5.2237048,7.2925138,7.9496155,9.1795006,"MDM-20","WSP Zeroed"
"67","771","14NY0722-1",12.176548,5.1544724,-6.1374207,8.4982185,10.5877285,17.3802452,38.2405548,"Wh1095407-2","WSP Zeroed"
"68","656","14NY0607-2",19.8715782,14.4807434,-5.6918411,9.8884459,8.9489012,8.8544617,30.6188774,"I817","WSP Zeroed"
"69","2832","14NY0344-1",3.2842245,0,-5.098444,7.4276948,8.7175455,36.7051735,52.8431778,"Wuh98032","WSP Zeroed"
"70","2897","14NY0627-1",3.7432165,0,-4.9963579,7.3507967,8.685317,36.1193008,52.1150436,"Wh00065","WSP Zeroed"
"71","2932","14NY0693-1",8.8352356,0,-4.9140072,6.7036667,8.0212059,33.9593658,48.6185532,"Wuh98032","WSP Zeroed"
"72","2799","14NY0292-2",6.5346718,0,-4.9015779,6.8773584,8.2440882,34.234623,49.298912,"Wh05066a","WSP Nulled"
"73","2818","14NY0322",9.4208517,0,-4.7536964,6.466732,7.9400568,33.8754845,48.3424034,"Wuh09164i","WSP Zeroed"
"74","2910","14NY0643-2",8.2037029,0.843261,-4.7279406,6.6986403,8.1426506,33.5793381,48.3713684,"Wh07061a","WSP Zeroed"
"75","2801","14NY0294-2",3.5693779,0,-4.6534472,7.413444,8.4690952,34.4743271,50.2772064,"Wh07013","WSP Zeroed"
"76","2947","14NY0729-2",5.5669174,0,-4.5636988,7.1546516,8.3589611,34.1200676,49.5783615,"Wh10113R","WSP Nulled"
"77","2905","14NY0634-1",8.6139107,1.9613087,-4.5449343,6.5659857,7.9526682,32.5416679,47.010704,"Wh05066a","WSP Nulled"
"78","2811","14NY0308-2",5.725913,0,-4.5320225,7.1214247,8.3410587,34.0511322,49.4669762,"Wh10113R","WSP Nulled"
"79","2775","14NY0226-1",2.8290081,0,-4.5052643,7.3801594,8.5593367,34.4977646,50.4153252,"Wh07165R","WSP Zeroed"
"80","2958","14NY0748-2",3.1155844,0,-4.4535985,7.4206905,8.518899,34.2011108,50.0962753,"Wh07165R","WSP Zeroed"
"81","2823","14NY0325-2",15.5790052,7.4103193,-4.4383087,5.8204284,7.1858654,29.3477764,42.1875572,"Wh10080","WSP Zeroed"
"82","2759","14NY0170",9.8685708,3.67906995,-4.41500855,6.6164634,7.68480205,31.3133745,45.46811675,"Wuh09098i","WSP Zeroed"
"83","2746","14NY0142-2",7.4658928,1.7225413,-4.4121103,6.8154063,8.0818281,32.6901855,47.5281906,"Wh93017","WSP Nulled"
"84","3493","15W3146-2",12.57472035,5.37471435,-4.37679815,6.09197595,7.50465465,30.59172345,44.09243015,"Wh10080","WSP Zeroed"
"85","2822","14NY0325-1",13.2561941,5.8919501,-4.3767147,6.1352396,7.4334936,30.1945877,43.6224289,"Wh10080","WSP Zeroed"
"86","2797","14NY0284-2",13.4075861,6.0186157,-4.3428326,6.1430283,7.4421258,30.4280472,43.8754463,"Wh09068","WSP Zeroed"
"87","2745","14NY0142-1",11.4449472,4.7704215,-4.2972898,6.1711931,7.5478778,30.6988087,44.3396378,"Wh93017","WSP Zeroed"
"88","2863","14NY0552-1",6.1824398,1.4493682,-4.2697945,7.0476751,8.0376654,32.3207092,47.3087387,"Wh07013","WSP Zeroed"
"89","2833","14NY0344-2",9.1066217,2.2820036,-4.2368283,6.965529,7.9314241,32.4358559,47.2550354,"Wuh98032","WSP Zeroed"
"90","2819","14NY0322-2",4.4202423,0,-4.227766,7.2706604,8.4219131,34.6679268,50.5108719,"Wuh09164i","WSP Zeroed"
"91","2749","14NY0146",12.60624405,5.96659065,-4.22218635,6.15617275,7.3774581,29.8422384,43.2470665,"Wuh09093i","WSP Zeroed"
"92","2982","14NY0830-1",13.8073454,5.7997708,-4.2102566,6.0016174,7.3100762,29.8365078,43.0601158,"V775","WSP Zeroed"
"93","2866","14NY0564",20.2986169,9.2331913,-4.19731425,4.82738805,6.46766475,27.27680585,38.4978218,"Wuh09191i","WSP Zeroed"
"94","2800","14NY0294-1",8.8016233,3.6037383,-4.1916695,6.6078453,7.691668,30.9703674,45.1656609,"Wh07013","WSP Zeroed"
"95","2919","14NY0666-2",2.7438574,NA,-4.1874485,7.5285826,8.5876551,34.8276749,51.0261383,"Wh01001","WSP Zeroed"
"96","2961","14NY0754-1",15.1680861,7.8164639,-4.1679096,5.6117525,7.0072527,28.53652,41.0250511,"Wh07166R","WSP Nulled"
"97","3383","15NY0692",21.3609695,9.3826733,-4.1221504,4.899642,6.4502621,27.2998714,38.569725,"Wuh98032","WSP Zeroed"
"98","2829","14NY0338-2",19.8083839,11.2356644,-4.1207662,4.934062,6.4630146,26.4894085,37.7037354,"Wh05081a","WSP Nulled"
"99","2858","14NY0537-2",4.6290016,0,-4.0575724,7.0637531,8.3726254,33.6799011,49.2078362,"Wh05051","WSP Zeroed"
"100","2924","14NY0671-1",12.7117758,6.6723709,-4.0508404,6.1589355,7.2975888,29.2187386,42.5309982,"Wh93017","WSP Zeroed"
"101","655","14NY0607-1",21.4728622,19.2313232,-4.0456924,7.6208549,7.8958859,7.6257286,24.1252441,"I817","WSP Zeroed"
"102","2753","14NY0157-1",3.650898,0,-4.0080113,7.3371968,8.4928226,34.5764389,50.5476074,"Wh05051","WSP Zeroed"
"103","2940","14NY0715-1",16.4338531,9.3422127,-3.9932427,5.4336805,6.8611426,27.6522713,39.8286171,"Wh09068","WSP Zeroed"
"104","2722","14NY0023-2",9.7654448,3.5110688,-3.9925818,6.5733962,7.6503024,30.7861671,44.9580994,"R853","WSP Zeroed"
"105","3332","15NY0392",20.8883324,9.3861771,-3.9914207,5.0109482,6.4748478,27.1576271,38.5662231,"Wh10046R","WSP Zeroed"
"106","2810","14NY0308-1",8.3794212,3.7094936,-3.9875205,6.6273503,7.8502426,31.227787,45.6662407,"Wh10113R","WSP Nulled"
